Code,Item #,Type #,Type,English,Japanese,Alt,Spanish,French,German,Italian
34B2,432,15,Torso,Surplice,しんかんのエプロン,,Sobrepelliz,Surplis,Chorhemd,Veste da sacerdote
339A,433,15,Torso,Cape of good karma,さとりのマント,,Capa de buen karma,Robe karmique,Umhang der Erleuchtung,Tunica del karma
33EC,434,15,Torso,Divine dress,さとりのワンピース,,Vestido divino,Robe divine,Himmlisches Kleid,Abito divino
34C5,435,15,Torso,Prince's pea coat,プリンスコート,,Abrigo principesco,Habit de prince,Prinzlicher Kaban,Giacca principesca
34C6,436,15,Torso,King's coat,キングコート,,Abrigo real,Habit de roi,Königsmantel,Abito del re
34C7,437,15,Torso,Emperor's attire,エンペラーコート,,Atuendo de emperador,Habit d'empereur,Kaisertracht,Vestito dell'imperatore
3516,438,15,Torso,Princess's robe,プリンセスローブ,,Vestido de princesa,Robe de princesse,Prinzessinnenrobe,Abito da principessa
34C3,439,15,Torso,Queen's robe,クインローブ,,Vestido de reina,Robe de reine,Königinnenrobe,Veste della regina
34C4,440,15,Torso,Empress's robe,エンプレスローブ,,Vestido de emperatriz,Robe d'impératrice,Kaiserinnenrobe,Veste dell'imperatrice
33FB,441,15,Torso,Nightmare gown,あくむのころも,,Bata de pesadilla,Robe cauchemardesque,Albtraumkleid,Veste dell'incubo
33FC,442,15,Torso,Celestria's gown,セレシアのころも,,Traje de Dafne,Toge de Célestelle,Celestriakleid,Tunica di Angelica
33FD,443,15,Torso,Celestria's raiment,セレシアのはごろも,,Atuendo de Dafne,Robe de Célestelle,Celestriagewand,Veste di Angelica
33FE,444,15,Torso,Dragon robe,ドラゴンローブ,,Túnica de dragón,Manteau du Dragon,Drachenrobe,Veste del drago
33FF,445,15,Torso,Xenlon robe,シェンロンローブ,,Túnica de Xenlon,Manteau de Xenlon,Xenlonrobe,Veste di Xenlon
3400,446,15,Torso,Angel's robe,天使のローブ,,Túnica de ángel,Manteau d'ange,Engelsrobe,Veste dell'angelo
3401,447,15,Torso,Archangel's robe,大天使のローブ,,Túnica de arcángel,Manteau d'archange,Erzengelsrobe,Veste dell'arcangelo
3402,448,15,Torso,Aeon's robe,ケルビムのローブ,,Túnica de trono,Manteau de chérubin,Äonrobe,Veste del cherubino
3403,449,15,Torso,Seraph's robe,セラフィムのローブ,,Túnica de serafín,Manteau de séraphin,Seraphimrobe,Veste del serafino
32E7,450,15,Torso,Muscle belt,あらくれベルト,,Cinturón de fuerza,Ceinture de force,Muskelgurt,Cintura del bandito
3534,451,15,Torso,Maid outfit,メイド服,,Vestido de doncella,Tenue de servante,Zofenkostüm,Abito da governante
32CF,452,15,Torso,Celestial suit,天使の服,,Traje celestial,Costume céleste,Himmlischer Anzug,Veste d'angelo
32EB,453,15,Torso,White tuxedo,白いタキシード,,Esmoquin blanco,Smoking blanc,Weißer Smoking,Giacca bianca
3539,454,15,Torso,Wedding dress,ウェディングドレス,,Vestido de boda,Robe de mariée,Hochzeitskleid,Abito da sposa
32EC,455,15,Torso,Santa suit,サンタの服,,Traje de Santa Claus,Veste de Père Noël,Nikolauskostüm,Vestito delle feste
353A,456,15,Torso,Santa's little helper suit,サンタガールの服,,Traje navideño,Tenue de lutin de Noël,Knecht-Ruprecht-Anzug,Costume da gnomo
32ED,457,15,Torso,Skeleton suit,がいこつスーツ,,Traje de esqueleto,Veste squelette,Skelettkostüm,Veste ossea
32EE,458,15,Torso,Captain's coat,かいぞくスーツ,,Abrigo de capitán,Capote du Cap'taine,Kapitäns-Kombination,Giacca del capitano
338A,459,15,Torso,Alefgard armour,ラダトームよろい,,Armadura de Alefgrado,Armure d'Alefgard,Alefgard-Rüstung,Armatura di Alefgard
3318,460,15,Torso,Midenhall garb,ローレシアの服,,Atuendo de Centrumbría,Tenue de Médiévande,Mitthall-Gewand,Veste di Midenhall
33EA,461,15,Torso,Aliahan clothes,ゆうしゃの服,,Ropa de Aliana,Tenue d'Aliah,Aliahan-Gewand,Veste di Aliahan
332B,462,15,Torso,Zenithian clothes,天空の服,,Ropa de Zenithia,Tenue zénithienne,Zenithia-Gewand,Abito di Zenithia
357F,463,15,Torso,Zenithian leotard,天空のレオタード上,,Maillot de Zenithia,Body zénithien,Zenithia-Trikot,Body di Zenithia
33EB,464,15,Torso,Gothan robe,グランバニアローブ,,Atuendo de Pankraz,Tenue de Gotha,Humburg-Robe,Abito di Denim
3329,465,15,Torso,Somnia clothes,レイドックの服,,Ropa de Somnia,Tenue de Somnia,Somnia-Gewand,Abito di Somnia
332A,466,15,Torso,Estard clothes,エスタードの服,,Ropa estardana,Tenue de Melyor,Estard-Gewand,Vestito di Estard
3328,467,15,Torso,Trodain togs,トロデーンの服,,Ropajes trodianos,Tenue de Trodain,Trodain-Tracht,Abito di Trodain
34B3,468,15,Torso,Cannock cloak,サマルトリアの服,,Manto de Cannock,Cape de Cannock,Cannock-Umhang,Manto di Cannock
34C9,469,15,Torso,Moonbrooke dress,ムーンブルクドレス,,Vestido de Arroyo Luna,Robe de Ruisselune,Mondbach-Kleid,Veste di Moonbrooke
3389,470,15,Torso,Ragnar's armour,ライアンのよろい,,Armadura de Ragnar,Armure de Ragnar,Ragnar-Rüstung,Armatura di Galiardo
3580,471,15,Torso,Alena's dress,アリーナの服,,Vestido de Alena,Robe d'Alina,Alena-Kleid,Vestito di Alena
3404,472,15,Torso,Kiryl's clothes,クリフトの服,,Ropa de Kiryl,Tenue de Kiryl,Kyrill-Gewand,Abito di Kiryl
3405,473,15,Torso,Borya's robe,ブライのローブ,,Túnica de Borya,Tenue de Borya,Borja-Robe,Veste di Boris
3406,474,15,Torso,Torneko's clothes,トルネコの服,,Ropa de Torneko,Tenue de Torneko,Torneko-Gewand,Abito di Baldo
352F,475,15,Torso,Maya's outfit,マーニャのドレス上,,Sostén de Maya,Haut de Maya,Maya-Kostüm,Top di Maya
34CA,476,15,Torso,Meena's robe,ミネアのローブ,,Sari de Meena,Robe de Mina,Mina-Robe,Abito di Myra
3530,477,15,Torso,Bianca's clothes,ビアンカの服,,Ropa de Bianca,Tenue de Bianca,Bianca-Gewand,Abito di Bianca
34CB,478,15,Torso,Nera's dress,フローラのドレス,,Vestido de Nera,Robe de Nera,Nera-Kleid,Vestito di Nera
3535,479,15,Torso,Debora's dress,デボラワンピース,,Vestido de Stefania,Robe de Pandora,Griselda-Kleid,Abito di Viola
32E1,480,15,Torso,Carver's vest,ハッサンのベスト,,Traje de Ebanisto,Gilet d'Olivier,Schnitzer-Weste,Vestito di Carver
34CC,481,15,Torso,Milly's clothes,ミレーユの服,,Ropa de Mencía,Tenue d'Émilie,Milly-Gewand,Abito di Milly
3531,482,15,Torso,Ashlynn's clothes,バーバラの服,,Ropa de Lucía,Tenue de Lauraline,Ashlynn-Gewand,Veste di Ashlynn
32E2,483,15,Torso,Kiefer's clothes,キーファの服,,Ropa de Cleómenes,Tenue de Killyan,Kiefer-Gewand,Abito di Kiefer
34CD,484,15,Torso,Maribel's clothes,マリベルの服,,Ropa de Gorgo,Tenue de Maribel,Maribel-Gewand,Vestito di Maribel
3408,485,15,Torso,Trode's robes,トロデのローブ,,Ropajes de Trode,Robe de Trode,Trode-Robe,Saio di Trode
32E3,486,15,Torso,Yangus's billy,ヤンガスのベスト,,Chaleco de Yangus,Gilet de Yangus,Yangus-Joppe,Giacchetta di Yangus
34CE,487,15,Torso,Jessica's frock,ゼシカの服,,Vestido de Jessica,Robe de Jessica,Jessica-Kleid,Vestito di Jessica
339B,488,15,Torso,Templar's togs,ククールの服,,Ropajes de templario,Tenue de Templier,Templertracht,Giacca da Templare
32E4,489,15,Torso,GUSTO garb,モリースーツ,,Ropajes con GUSTO,Habit magnifico,GUSTO-Gewand,Camicia di Morrie
3533,490,15,Torso,Fleurette's frock,セティアドレス,,Vestido de Fleurette,Robe de Fleurette,Fleurette-Kleid,Abito di Fleurette
3532,491,15,Torso,Stellar suit,ギャルの服,,Traje estelar,Tenue stellaire,Stella-Kleid,Vestito stellare
3536,492,15,Torso,Erinn's outfit,リッカの服,,Atuendo de Sada,Tenue de Bérangère,Thekla-Tracht,Vestito di Nadine
3537,493,15,Torso,Patty's dirndl,ルイーダの服,,Vestidito de Petricia,Robe de Tulipe,Hilda-Dirndl,Abitino di Patty
3538,494,15,Torso,Sellma's frock,ロクサーヌドレス,,Vestido de Almoneda,Robe de Vanda,Tinnef-Tina-Tracht,Vestito di Brenda
32EA,495,15,Torso,Aquila's armour,イザヤールの服,,Armadura de Engel,Armure d'Aquila,Aquila-Rüstung,Armatura di Falko
3EDE,496,17,Legs,Boxer shorts,ステテコパンツ,,Calzones,Caleçon,Kurze Hose,Boxer
3EDF,497,17,Legs,Leather kilt,皮のこしまき,,Kilt de cuero,Kilt de cuir,Lederrock,Kilt di pelle
3F55,498,17,Legs,Cotton trousers,ぬののズボン,,Pantalones de algodón,Pantalon de toile,Baumwollhose,Calzoni di cotone
3FB3,499,17,Legs,Red skirt,赤いスカート,,Falda roja,Jupe rouge,Roter Rock,Gonna rossa
3FB4,500,17,Legs,Blue skirt,青いスカート,,Falda azul,Jupe bleue,Blauer Rock,Gonna blu
3FB5,501,17,Legs,Kiltlet,チェックのスカート,,Minikilt,Mini kilt,Kilt,Gonnellina
3FBC,502,17,Legs,Springtime skirt,はる色スカート,,Falda primaveral,Jupe printanière,Frühlingsrock,Gonna primaverile
3FBD,503,17,Legs,Snazzy skirt,ドレススカート,,Falda de vestir,Jupe voyante,Schicker Rock,Gonna alla moda
3FBE,504,17,Legs,Magical skirt,マジカルスカート,,Falda mágica,Jupe magique,Zauberrock,Gonna magica
3FBF,505,17,Legs,Seabreeze skirt,うみかぜのスカート,,Falda marinera,Jupe légère,Meeresbrisenrock,Gonna del mare
3F82,506,17,Legs,Swinedimples slacks,エルシオンズボン,,Pantalones de Paracelso,Pantalon Saint-Sévaire,Schweinspickel-Hose,Pantaloni dell'Accademia
3FB2,507,17,Legs,Swinedimples skirt,エルシオンスカート,,Falda de Paracelso,Jupe Saint-Sévaire,Schweinspickel-Rock,Gonna dell'Accademia
3F56,508,17,Legs,Training trousers,けいこぎ下,,Pantalones de entrenar,Pantalon d'entraînement,Trainingshose,Calzoni da allenamento
3F7F,509,17,Legs,Tracky bottoms,しゅぎょうぎ下,,Pantalón de deporte,Pantalon d'exercice,Sporthose,Calzoni da battaglia
3EE8,510,17,Legs,Pop socks,ニーソックス,,Calcetines altos,Chaussettes hautes,Kniestrümpfe,Calzettoni
3FAE,511,17,Legs,Fishnet stockings,あみタイツ,,Medias de rejilla,Bas résille,Netzstrümpfe,Calze a rete
3F58,512,17,Legs,Boomer briefs,ブーメランパンツ,,Calzones reversibles,Slip kangourou,Bumeranghose,Boxerang
3F59,513,17,Legs,Wonder pants,ビクトリーパンツ,,Wonderpantalones,Super slip,Wunderhose,Calzoncini della vittoria
3FB8,514,17,Legs,Blue knickers,ブルーガード,,Ropa interior azul,Culotte bleue,Blaues Höschen,Mutanda blu
3FB9,515,17,Legs,Black knickers,ブラックガード,,Ropa interior negra,Culotte noire,Schwarzes Höschen,Mutanda nera
3F5A,516,17,Legs,Iron kneecaps,てつのひざあて,,Rótulas de hierro,Genouillères de fer,Eisen-Knieschützer,Ginocchiere di ferro
3F5B,517,17,Legs,Steel kneecaps,はがねのひざあて,,Rótulas de acero,Genouillères d'acier,Stahl-Knieschützer,Ginocchiere d'acciaio
3F5C,518,17,Legs,Gigasteel kneecaps,たまはがねひざあて,,Rótulas de gigacero,Genoux de trempacier,Gigastahl-Knieschützer,Ginocchiere Inox
3F48,519,17,Legs,Warrior's trousers,戦士のズボン,,Pantalones de guerrero,Pantalon de guerrier,Kriegerhose,Calzoni da guerriero
3EE4,520,17,Legs,Femiscyran bottoms,アマゾネスボトム,,Pantalones de Feministia,Bas de Fémiscyra,Femiscyra-Hose,Costumino di Femiscyra
3F4C,521,17,Legs,Wizard's trousers,まどうのズボン,,Pantalones de mago,Pantalon de magicien,Zaubererhose,Pantaloni da mago
3F53,522,17,Legs,Blessed bottoms,しんぴのズボン,,Pantalones benditos,Pantalon béni,Heilige Hose,Calzoni benedetti
3FAC,523,17,Legs,Sorcerer's slacks,まじゅつのズボン,,Pantalones de brujo,Pantalon de sorcier,Hexerhose,Calzoni stregati
3F4B,524,17,Legs,Tussler's trousers,けんぽうぎ下,,Pantalones de kimono,Pantalon de lutteur,Grobian-Hose,Combat-jeans
3FAD,525,17,Legs,Slick slacks,しんそくのパオ,,Pantalones colganderos,Pantalon de ninja,Ausgefuchste Buxe,Calzoni raffinati
3F4A,526,17,Legs,Nicker's knickers,しのびのズボン,,Pantalón ninja,Pantalon de furtivité,Ninjahose,Calzamaglia del ninja
3F4D,527,17,Legs,Loud trousers,はでなズボン,,Pantalones estridentes,Pantalon criard,Prächtige Hose,Calzoni della veglia
3F5D,528,17,Legs,Fancy pants,ワンダフルズボン,,Pantalones chulones,Pantalon fantaisie,Schicke Hose,Fantacalzoni
3F87,529,17,Legs,Blue jeans,ブルージーンズ,,Vaqueros,Jean,Blaue Jeanshose,Zena blu
3FB7,530,17,Legs,Denim skirt,デニムスカート,,Falda vaquera,Jupe en jean,Jeansrock,Gonna Zena
3F4E,531,17,Legs,Battle britches,バトルパンツ,,Pantalones de montar,Pantalon de bataille,Kampfhose,Pantaloni da guerra
3EE7,532,17,Legs,Chainmail socks,チェインニーソ,,Calcetines de malla,Grèves de mailles,Kettenpanzer-Socken,Costumino di ferro
3F4F,533,17,Legs,Swordsman's slacks,剣士のズボン,,Pantalones de esgrima,Pantalon d'escrime,Schwertkämpfer-hose,Pantaloni delle armi
3F52,534,17,Legs,Steppe steppers,そうげんのズボン,,Pantalones esteparios,Pantalon des steppes,Steppenhose,Pantaloni della pampa
3F50,535,17,Legs,Red tights,レッドタイツ,,Medias rojas,Collants rouges,Rote Strumpfhose,Calzamaglia rossa
3F51,536,17,Legs,Green tights,グリーンタイツ,,Medias verdes,Collants verts,Grüne Strumpfhose,Calzamaglia verde
3F54,537,17,Legs,White tights,ホワイトタイツ,,Medias blancas,Collants blancs,Weiße Strumpfhose,Calzamaglia bianca
3F5E,538,17,Legs,Transparent tights,とうめいタイツ,,Medias transparentes,Collants transparents,Feinstrumpf-hose,Calzamaglia trasparente
3FAF,539,17,Legs,Dangerous midriff wrap,あぶない水着下,,Pareo peligroso,Paréo dangereux,Gefährliche Bikini-Hose,Pareo pericoloso
3FB0,540,17,Legs,Hot bikini bottoms,いけない水着下,,Braguita caliente,Bas de bikini brûlant,Heiße Bikini-Hose,Costumino millesguardi
3FB1,541,17,Legs,Sizzling bikini bottoms,きわどい水着下,,Braga chisporroteante,Bas de bikini torride,Brandheiße Bikini-Hose,Costumino De Fuego
3F80,542,17,Legs,Dragon warrior trousers,竜戦士のズボン,,Pantalón de draconarius,Culotte de dracoguerrier,Drachenkrieger-hose,Calzoni Draconis
3F5F,543,17,Legs,Dragon trousers,竜のどうぎ下,,Pantalones de dragón,Pantalon du Dragon,Drachenhose,Calzoni del drago
3F9B,544,17,Legs,Trinity tights,しんかんのタイツ,神官のタイツ,Medias trinitarias,Collants sacrés,Heilige Strumpfhose,Calzamaglia santa
3F60,545,17,Legs,Combat trousers,ぶしんのどうぎ下,,Pantalones de combate,Pantalon de combat,Schlachtenhose,Panta-combat
3F64,546,17,Legs,Tantric trousers,さとりのズボン,,Pantalones tántricos,Pantalon tantrique,Tantrahose,Calzoni del guru
3F65,547,17,Legs,Sturdy slacks,まもりのスパッツ,,Pantalones ajustados,Pantalon robuste,Feste Hose,Calzoni robusti
3F66,548,17,Legs,Impregnable leggings,てっぺきのレギンス,,Calzas indestructibles,Pantalon ultrarésistant,Unüberwindliche Hose,Calzoni resistenti
3F67,549,17,Legs,Invincible trousers,むてきのズボン,,Pantalones invencibles,Pantalon d'invincibilité,Unbezwingbare Hose,Invincipantaloni
3F68,550,17,Legs,Immortal trousers,ふめつのズボン,,Pantalones inmortales,Pantalon d'immortalité,Unsterbliche Hose,Pantaloni dell'immortalità
3F69,551,17,Legs,Eternity trousers,ゆうきゅうのズボン,,Pantalones eternos,Pantalon d'éternité,Ewigkeitshose,Pantaloni eterni
3F6A,552,17,Legs,Infinity trousers,ぜったいのズボン,,Pantalones infinitos,Pantalon de l'infini,Unendlichkeits-hose,Infinicalzoni
3F7B,553,17,Legs,Toughie trousers,あらくれズボン,,Pantalones de matón,Pantalon de brute,Strolchhose,Calzoni da duro
3F57,554,17,Legs,Celestial stockings,天使のタイツ,,Calcetines celestiales,Collants célestes,Himmlische Socken,Calze celestiali
3F83,555,17,Legs,White tuxedo trousers,白いスラックス,,Pantalones de esmoquin,Bas de smoking blanc,Weiße Smoking-Hose,Pantaloni bianchi
3F84,556,17,Legs,Santa's slacks,サンタのズボン,,Pantalones Papá No Es,Pantalon de Père Noël,Nikolaushose,Calzoni natalizi
3F85,557,17,Legs,Skeletal slacks,がいこつタイツ,,Pantalones de esqueleto,Pantalon squelette,Skeletthose,Pantaloni ossei
3F86,558,17,Legs,Pirate pantaloons,かいぞくパンツ,,Pantalones piratas,Pantalon de pirate,Piratenhose,Calzoni del corsaro
3F9F,559,17,Legs,Alefgard trousers,ラダトームズボン,,Pantalones de Alefgrado,Pantalon d'Alefgard,Alefgard-Hose,Calzoni di Alefgard
3F9E,560,17,Legs,Midenhall trousers,ローレシアのズボン,,Pantalón centrumbriano,Pantalon de Médiévande,Mitthall-Hose,Calzoni di Midenhall
3FA0,561,17,Legs,Aliahan trousers,ゆうしゃのズボン,,Pantalones de Aliana,Pantalon d'Aliah,Aliahan-Hose,Pantaloni di Aliahan
3FA1,562,17,Legs,Zenithian trousers,天空のズボン,,Pantalones de Zenithia,Pantalon zénithien,Zenithia-Hose,Pantaloni di Zenithia
3F3F,563,17,Legs,Zenithian leggings,天空のレオタード下,,Calzas de Zenithia,Jambières zénithiennes,Zenithia-Strumpfhose,Calzamaglia di Zenithia
3EDD,564,17,Legs,Somnia shorts,レイドックのズボン,,Shorts de Somnia,Short de Somnia,Somnia-Hose,Pantaloncini di Somnia
3FA2,565,17,Legs,Estard trousers,エスタードのズボン,,Pantalones estardanos,Pantalon de Melyor,Estard-Hose,Pantaloni di Estard
3FA3,566,17,Legs,Trodain trousers,トロデーンズボン,,Pantalones trodianos,Pantalon de Trodain,Trodain-Hose,Pantaloni di Trodain
3F6B,567,17,Legs,Cannock trousers,サマルトリアズボン,,Pantalones de Cannock,Pantalon de Cannock,Cannock-Hose,Calzoni di Cannock
4006,568,17,Legs,Alena's tights,アリーナタイツ,,Medias de Alena,Collants d'Alina,Alena-Strumpfhose,Calzamaglia di Alena
3F6C,569,17,Legs,Kiryl's trousers,クリフトのズボン,,Pantalones de Kiryl,Pantalon de Kiryl,Kyrill-Hose,Calzoni di Kiryl
3F6D,570,17,Legs,Torneko's trousers,トルネコのズボン,,Pantalones de Torneko,Pantalon de Torneko,Torneko-Hose,Calzoni di Baldo
3FB6,571,17,Legs,Maya's bottoms,マーニャのドレス下,,Falda de Maya,Jupe de Maya,Maya-Hose,Velo di Maya
3F70,572,17,Legs,Carver's shorts,ハッサンのズボン,,Shorts de Ebanisto,Culotte d'Olivier,Schnitzer-Hose,Pantaloncini di Carver
3F71,573,17,Legs,Milly's pants,ミレーユのズボン,,Pantalones de Mencía,Pantalon d'Émilie,Milly-Hose,Pantaloni di Milly
3F73,574,17,Legs,Kiefer's trousers,キーファのズボン,,Pantalón de Cleómenes,Pantalon de Killyan,Kiefer-Hose,Pantaloni di Kiefer
3F74,575,17,Legs,Cor blimey trousers,ヤンガスのズボン,,Pantalones caramba,Pantalon saperlipopette,Potztausendhose,Calzoni di Yangus
3F7C,576,17,Legs,Templar's trousers,ククールズボン,,Pantalones de templario,Pantalon de Templier,Templerhose,Calzoni da Templare
3F75,577,17,Legs,PASSION tights,モリータイツ,,Medias con PASIÓN,Collants PASSIONE,LEIDENSCHAFTS-Hose,Calzoni di Morrie
3F78,578,17,Legs,Fleurette's chaussettes,セティアニーソ,,Medias de Fleurette,Jambières de Fleurette,Fleurette-Chaussettes,Calze di Fleurette
3F76,579,17,Legs,Stellar stockings,ギャルニーソ,,Calcetines estelares,Jambières stellaires,Stella-Strümpfe,Calze delle stelle
3F81,580,17,Legs,Aquila's trousers,イザヤールのズボン,,Pantalones de Engel,Pantalon d'Aquila,Aquila-Hose,Calzoni di Falko
2F9F,581,14,Head,Iron helmet,てつかぶと,,Yelmo de hierro,Heaume de fer,Eisenhelm,Elmetto di ferro
2FA6,582,14,Head,Steel helmet,はがねのかぶと,,Yelmo de acero,Heaume d'acier,Stahlhelm,Elmetto d'acciaio
2FA7,583,14,Head,Gigasteel helmet,たまはがねのかぶと,,Yelmo de gigacero,Heaume de trempacier,Gigastahlhelm,Elmetto Inox
30D1,584,14,Head,Slime crown,スライムのかんむり,,Corona de limo,Couronne de gluant,Schleimkrone,Corona Slime
31F6,585,14,Head,Iron mask,てっかめん,,Celada de hierro,Masque de fer,Eisenmaske,Maschera di ferro
31F7,586,14,Head,Filigree mask,ぎんかめん,,Celada con filigranas,Masque filigrane,Filigranmaske,Maschera filigranata
31F1,587,14,Head,Dragon warrior helm,竜戦士のかぶと,,Yelmo de draconarius,Casque de dracoguerrier,Drachenkriegerhelm,Elmo Draconis
3070,588,14,Head,Warrior's helm,戦士のかぶと,,Yelmo de guerrero,Heaume de guerrier,Kriegerhelm,Elmo da guerriero
31F8,589,14,Head,Platinum headgear,プラチナヘッド,,Tocado de platino,Heaume de platine,Platin-Kopfschutz,Elmo di platino
319E,590,14,Head,Mail coif,チェインフード,,Cofia de malla,Cagoule de mailles,Panzerhaube,Cuffia di ferro
31F9,591,14,Head,Mythril coif,ミスリルフード,,Cofia de mitrilo,Cagoule de mythril,Mythrilhaube,Cuffia di mithril
3007,592,14,Head,Thinking cap,ちりょくのかぶと,,Corona pensante,Coiffe de réflexion,Denkdiadem,Diadema da studioso
3008,593,14,Head,Scholar's circlet,インテリクラウン,,Tocado de erudito,Coiffe d'érudit,Gelehrtenreif,Copricapo del pensiero
2F94,594,14,Head,Raging bull helm,もうぎゅうヘルム,,Yelmo de toro bravo,Heaume à cornes,Bullenhelm,Elmo del toro scatenato
2F95,595,14,Head,Minotaur helm,バッファローメット,,Yelmo de minotauro,Casque de minotaure,Minotaurenhelm,Elmo del minotauro
31FA,596,14,Head,Hades' helm,サタンヘルム,,Yelmo de Hades,Heaume d'Hadès,Hadeshelm,Elmo del diavolo
2F96,597,14,Head,Great helm,グレートヘルム,,Yelmo grandioso,Grand heaume,Großer Helm,Grande elmo
31FB,598,14,Head,Mythril helm,ミスリルヘルム,,Yelmo de mitrilo,Heaume de mythril,Mythrilhelm,Elmo in mithril
2F97,599,14,Head,Veteran's helm,古強者のかぶと,,Yelmo de veterano,Casque de vétéran,Veteranenhelm,Elmo da veterano
2FAE,600,14,Head,Crown of clarity,さとりのかんむり,,Corona de claridad,Couronne de lucidité,Krone der Klarheit,Corona della chiarezza
2FAF,601,14,Head,Steely sweatband,ぶおうのハチガネ,,Cinta acerosa,Bandeau renforcé,Stahl-Schweißband,Fermacapelli d'acciaio
2F98,602,14,Head,Skull helm,ドクロのかぶと,ドクロの兜,Yelmo de cráneo,Heaume d'os,Schädelhelm,Elmo del teschio
307C,603,14,Head,Sun crown,たいようのかんむり,,Corona solar,Couronne solaire,Sonnenkrone,Corona del sole
307D,604,14,Head,Apollo's crown,アポロンのかんむり,,Corona de Apolo,Couronne sidérale,Apollokrone,Corona di Apollo
2FA5,605,14,Head,Metal slime helm,メタスラヘルム,,Yelmo limometálico,Heaume gluant de métal,Metallschleimhelm,Elmo dello Slime grigio
2F99,606,14,Head,Liquid metal helm,はぐれメタルヘルム,,Yelmo metalíquido,Heaume de mercure,Flüssigmetallhelm,Elmo del Liquislime
2F9A,607,14,Head,Metal king helm,メタルキングヘルム,,Yelmo real,Heaume royal,Metallkönighelm,Elmo del Re Slime grigio
2F9B,608,14,Head,Rusty helmet,さびついたかぶと,,Yelmo oxidado,Heaume rouillé,Rostiger Helm,Elmo arrugginito
2FA2,609,14,Head,Erdrick's helmet,ロトのかぶと,,Yelmo de Erdrick,Heaume d'Elric,Erdrickhelm,Elmo di Erdrick
2F9C,610,14,Head,Hallowed helm,じあいのかぶと,,Yelmo de santidad,Heaume sacré,Geheiligter Helm,Elmo della benevolenza
2F9D,611,14,Head,Blessed helm,しゅくふくのかぶと,,Yelmo bendito,Heaume béni,Gesegneter Helm,Elmo sacro
2F8A,612,14,Head,Wonder helm,きせきのかぶと,,Yelmo maravilla,Heaume miraculeux,Wunderhelm,Elmo delle meraviglie
2F8B,613,14,Head,Heavenly helm,しんぱんのかぶと,,Yelmo celestial,Heaume divin,Himmlischer Helm,Elmo celeste
307A,614,14,Head,Bandana,バンダナ,,Pañuelo,Foulard,Kopftuch,Bandana
307E,615,14,Head,Trailblazing bandana,おしゃれなバンダナ,,Pañuelo a la moda,Foulard de pionnier,Kesses Kopftuch,Bandana alla moda
307F,616,14,Head,Mercury's bandana,しっぷうのバンダナ,疾風のバンダナ,Pañuelo de Mercurio,Foulard d'Hermès,Merkurkopftuch,Bandana di Mercurio
2FAD,617,14,Head,Hairband,ヘアバンド,,Diadema,Diadème,Haarband,Fermaglio per capelli
30D2,618,14,Head,Leather hat,皮のぼうし,,Gorro de piel,Casque de cuir,Lederhut,Cappello di pelle
307B,619,14,Head,Hardwood headwear,木のぼうし,,Tocado de madera,Casque de bois,Holzhelm,Elmo di legno
2FB0,620,14,Head,Silver tiara,ぎんのかみかざり,,Tiara de plata,Tiare d'argent,Silbertiara,Diadema d'argento
2FB1,621,14,Head,Golden tiara,きんのかみかざり,,Diadema de oro,Tiare d'or,Goldtiara,Diadema d'oro
30CF,622,14,Head,Turban,ターバン,,Turbante,Turban,Turban,Turbante
3080,623,14,Head,Feathered cap,はねぼうし,,Gorro con plumas,Chapeau à plumes,Federkappe,Cappello piumato
31FC,624,14,Head,Fur hood,けがわのフード,,Capucha de pieles,Capuche de fourrure,Pelzmütze,Cappuccio di pelliccia
30D0,625,14,Head,Pointy hat,とんがりぼうし,,Gorro puntiagudo,Chapeau à pointe,Spitzhut,Cappello a punta
3200,626,14,Head,Bunny ears,うさみみバンド,,Orejas de conejita,Oreilles de lapin,Häschenohren,Cuffia da coniglietta
3201,627,14,Head,Cat ears,ねこみみバンド,,Orejas de gato,Oreilles de chat,Katzenohren,Cuffia da micio
31FD,628,14,Head,Slood,スライムヘッド,,Limomáscara,Glurin,Schleimhut,Cappuccio Slurp
2FA8,629,14,Head,Feather headband,はねかざりバンド,,Cinta emplumada,Turban à plume,Federhaarband,Fascia piumata
2FA9,630,14,Head,Circlet,サークレット,,Tocado,Troubandeau,Reif,Cerchietto
2FB3,631,14,Head,Gold circlet,きんのサークレット,,Tocado de oro,Bandeau d'or,Goldreif,Cerchietto d'oro
2FB4,632,14,Head,Star circlet,ほしのサークレット,,Tocado estrellado,Bandeau stellaire,Sternreif,Cerchietto delle stelle
3077,633,14,Head,Hunter's hat,ハンターぼうし,,Sombrero de cazador,Chapeau de chasseur,Jägerhut,Copricapo da caccia
3078,634,14,Head,Ear cosy,ぬくもりのシャプカ,,Gorro peludo,Toque de fourrure,Ohrenwärmer,Coda di castoro
308D,635,14,Head,Holy hat,聖なるカロット,,Sombrero sagrado,Casque sacré,Heiliger Hut,Berretto sacro
3072,636,14,Head,Hermetic hat,しんぴのカロット,,Sombrero hermético,Chapeau hermétique,Hermetischer Hut,Ermeticappello
3071,637,14,Head,Hocus hat,まがんのぼうし,,Sombrero cadabra,Abracadacoiffe,Hokushut,Cappello degli incanti
3138,638,14,Head,Tricky turban,まじょのターバン,,Turbante con truco,Turban talisman,Trickturban,Turbante turbolento
